age, C, mean_A, med_A, H, H_bad, H_good, H_work, H_work_bad, H_work_good, P, P_bad, P_good, B
 83,  53038.1715547241, 336814.1420236659, 332890.1562035894,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 84,  54507.9058283939, 361572.9958785860, 374622.6459257114,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 85,  56022.7546556188, 387103.6520018094, 419780.5959993973,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 86,  57722.0690755429, 412954.8231321473, 466229.0524372687,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 87,  59574.3395338779, 439588.4721436120, 534991.3070206123,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 88,  61225.1972074350, 465037.7061096788, 599677.8062115924,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 89,  62605.3340028481, 485754.6415981889, 600000.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 90,  64273.7871781543, 509577.1255386740, 600000.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 91,  65400.7439415559, 525070.2256940955, 600000.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 92,  66472.7794348735, 539319.1457236498, 600000.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 93,  67694.8574747617, 558371.3286055570, 600000.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 94,  72419.3438337773, 581114.4290931894, 600000.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
