age,M,A,AIME,Wage,Aopt,Copt,Hopt,Bopt,nextAIMEopt,Iopt,pbopt,ssopt,value
95,1,51428.57,43800,0,62651.45,16578.16,0,1,43800,15266.84,17104.27,12534.2,-0.5199215068
95,1,57142.86,2e3,0,45285.39,16095.3,0,1,2e3,2437.84,339.85,1800,-0.5370806386
95,1,57142.86,3750,0,46669.52,16578.16,0,1,3750,2747.23,673.06,3357.6,-0.5352340977
95,1,57142.86,5500,0,47340.76,16578.16,0,1,5500,2858.46,792.86,3917.6,-0.5345726457
95,1,57142.86,7250,0,48011.99,16578.16,0,1,7250,2969.69,912.66,4477.6,-0.5339128443
95,1,57142.86,9e3,0,48750.27,16578.16,0,1,9e3,3147.97,1104.67,5037.6,-0.5331890423
95,1,57142.86,15960,0,54844.13,16578.16,0,1,15960,7014.63,5858.06,7264.8,-0.5272895804
95,1,57142.86,22920,0,60398.27,16578.16,0,1,22920,10431.38,10419.81,9402.2,-0.5220264498
95,1,57142.86,29880,0,62613.81,17075.51,0,1,29880,12100.26,12647.96,10446.2,-0.519493597
95,1,57142.86,36840,0,65326.7,17075.51,0,1,36840,13769.15,14876.12,11490.2,-0.5169815236
95,1,57142.86,43800,0,68039.59,17075.51,0,1,43800,15438.04,17104.27,12534.2,-0.5144938921
95,1,62857.14,2e3,0,50729.05,16578.16,0,1,2e3,2650.07,339.85,1800,-0.5312588033
95,1,62857.14,3750,0,52596.04,16578.16,0,1,3750,2959.45,673.06,3357.6,-0.5294505249
95,1,62857.14,5500,0,53267.27,16578.16,0,1,5500,3070.69,792.86,3917.6,-0.5288034374
95,1,62857.14,7250,0,53938.5,16578.16,0,1,7250,3181.92,912.66,4477.6,-0.5281579475
95,1,62857.14,9e3,0,54676.78,16578.16,0,1,9e3,3360.2,1104.67,5037.6,-0.52744982520000006
95,1,62857.14,15960,0,60729.61,16578.16,0,1,15960,7185.83,5858.06,7264.8,-0.5217158265
95,1,62857.14,22920,0,65786.41,17075.51,0,1,22920,10602.58,10419.81,9402.2,-0.5165582744
95,1,62857.14,29880,0,68499.3,17075.51,0,1,29880,12271.46,12647.96,10446.2,-0.5140747494
95,1,62857.14,36840,0,71212.19,17075.51,0,1,36840,13940.35,14876.12,11490.2,-0.5116152544
95,1,62857.14,43800,0,73925.08,17075.51,0,1,43800,15609.24,17104.27,12534.2,-0.5091794442
95,1,68571.43,2e3,0,56655.56,16578.16,0,1,2e3,2862.29,339.85,1800,-0.5255612997
95,1,68571.43,3750,0,58522.55,16578.16,0,1,3750,3171.68,673.06,3357.6,-0.523791965
95,1,68571.43,5500,0,59193.79,16578.16,0,1,5500,3282.92,792.86,3917.6,-0.523158782
95,1,68571.43,7250,0,59865.02,16578.16,0,1,7250,3394.15,912.66,4477.6,-0.5225271456
95,1,68571.43,9e3,0,60603.29,16578.16,0,1,9e3,3572.43,1104.67,5037.6,-0.5218342021
95,1,68571.43,15960,0,66117.75,17075.51,0,1,15960,7357.03,5858.06,7264.8,-0.5162536467
95,1,68571.43,22920,0,71671.9,17075.51,0,1,22920,10773.78,10419.81,9402.2,-0.5112008393
95,1,68571.43,29880,0,74384.79,17075.51,0,1,29880,12442.66,12647.96,10446.2,-0.5087690089
95,1,68571.43,36840,0,77097.67,17075.51,0,1,36840,14111.55,14876.12,11490.2,-0.5063604683
95,1,68571.43,43800,0,79298.3,17587.77,0,1,43800,15780.44,17104.27,12534.2,-0.503974657
95,1,74285.71,2e3,0,62582.08,16578.16,0,1,2e3,3074.52,339.85,1800,-0.5199860602
95,1,74285.71,3750,0,63951.72,17075.51,0,1,3750,3383.91,673.06,3357.6,-0.5182516491
95,1,74285.71,5500,0,64622.95,17075.51,0,1,5500,3495.15,792.86,3917.6,-0.5176308163
95,1,74285.71,7250,0,65294.19,17075.51,0,1,7250,3606.38,912.66,4477.6,-0.5170114855
95,1,74285.71,9e3,0,66032.46,17075.51,0,1,9e3,3784.66,1104.67,5037.6,-0.5163320252
95,1,74285.71,15960,0,72003.24,17075.51,0,1,15960,7528.23,5858.06,7264.8,-0.5109025655
95,1,74285.71,22920,0,77557.38,17075.51,0,1,22920,10944.98,10419.81,9402.2,-0.5059546153
95,1,74285.71,29880,0,79758.01,17587.77,0,1,29880,12613.86,12647.96,10446.2,-0.5035719379
95,1,74285.71,36840,0,82470.89,17587.77,0,1,36840,14282.75,14876.12,11490.2,-0.5012085546
95,1,74285.71,43800,0,85183.78,17587.77,0,1,43800,15951.64,17104.27,12534.2,-0.4988674928
95,1,8e4,2e3,0,68011.25,17075.51,0,1,2e3,3286.75,339.85,1800,-0.5145197586
95,1,8e4,3750,0,69878.23,17075.51,0,1,3750,3596.14,673.06,3357.6,-0.512821631
95,1,8e4,5500,0,70549.47,17075.51,0,1,5500,3707.37,792.86,3917.6,-0.5122138743
95,1,8e4,7250,0,71220.7,17075.51,0,1,7250,3818.61,912.66,4477.6,-0.5116075726
95,1,8e4,9e3,0,71958.98,17075.51,0,1,9e3,3996.88,1104.67,5037.6,-0.5109423889
95,1,8e4,15960,0,77888.72,17075.51,0,1,15960,7699.43,5858.06,7264.8,-0.5056624999
95,1,8e4,22920,0,82930.6,17587.77,0,1,22920,11116.18,10419.81,9402.2,-0.5008102903
95,1,8e4,29880,0,85643.49,17587.77,0,1,29880,12785.06,12647.96,10446.2,-0.4984729798
95,1,8e4,36840,0,88356.38,17587.77,0,1,36840,14453.95,14876.12,11490.2,-0.4961576255
95,1,8e4,43800,0,91069.27,17587.77,0,1,43800,16122.84,17104.27,12534.2,-0.4938639214
95,1,114666.67,2e3,0,102861.53,18115.4,0,1,2e3,4510.27,339.85,1800,-0.4837026732
95,1,114666.67,3750,0,104684.37,18115.4,0,1,3750,4775.51,673.06,3357.6,-0.4822337369
95,1,114666.67,5500,0,105339.73,18115.4,0,1,5500,4870.87,792.86,3917.6,-0.4817078164
95,1,114666.67,7250,0,105995.09,18115.4,0,1,7250,4966.23,912.66,4477.6,-0.4811830547
95,1,114666.67,9e3,0,106707.92,18115.4,0,1,9e3,5119.06,1104.67,5037.6,-0.4806135832
95,1,114666.67,15960,0,112554.11,18115.4,0,1,15960,8738.04,5858.06,7264.8,-0.4759941094
95,1,114666.67,22920,0,117564.79,18658.87,0,1,22920,12154.79,10419.81,9402.2,-0.4716834784
95,1,114666.67,29880,0,120277.68,18658.87,0,1,29880,13823.68,12647.96,10446.2,-0.4696049245
95,1,114666.67,36840,0,122990.57,18658.87,0,1,36840,15492.56,14876.12,11490.2,-0.4675448108
95,1,114666.67,43800,0,125703.45,18658.87,0,1,43800,17161.45,17104.27,12534.2,-0.4655028944
95,1,149333.33,2e3,0,137528.76,19218.63,0,1,2e3,5614.05,339.85,1800,-0.4563995411
95,1,149333.33,3750,0,139351.59,19218.63,0,1,3750,5879.29,673.06,3357.6,-0.4550885441
95,1,149333.33,5500,0,140006.95,19218.63,0,1,5500,5974.65,792.86,3917.6,-0.4546190639
95,1,149333.33,7250,0,140662.32,19218.63,0,1,7250,6070.01,912.66,4477.6,-0.4541505621
95,1,149333.33,9e3,0,141368.66,19218.63,0,1,9e3,6216.36,1104.67,5037.6,-0.4536467021
95,1,149333.33,15960,0,147156.16,19218.63,0,1,15960,9776.66,5858.06,7264.8,-0.4495605044
95,1,149333.33,22920,0,152133.74,19795.19,0,1,22920,13193.4,10419.81,9402.2,-0.4457081034
95,1,149333.33,29880,0,154846.63,19795.19,0,1,29880,14862.29,12647.96,10446.2,-0.443847432
95,1,149333.33,36840,0,157559.52,19795.19,0,1,36840,16531.18,14876.12,11490.2,-0.4420024
95,1,149333.33,43800,0,160272.41,19795.19,0,1,43800,18200.07,17104.27,12534.2,-0.4401728122
95,1,184e3,2e3,0,172093.08,20389.05,0,1,2e3,6682.13,339.85,1800,-0.4319913245
95,1,184e3,3750,0,173900.26,20389.05,0,1,3750,6931.71,673.06,3357.6,-0.4308239468
95,1,184e3,5500,0,174549.99,20389.05,0,1,5500,7021.44,792.86,3917.6,-0.4304057997
95,1,184e3,7250,0,175199.72,20389.05,0,1,7250,7111.17,912.66,4477.6,-0.4299884724
95,1,184e3,9e3,0,175903.53,20389.05,0,1,9e3,7254.98,1104.67,5037.6,-0.4295373307
95,1,184e3,15960,0,181691.02,20389.05,0,1,15960,10815.27,5858.06,7264.8,-0.4258635385
95,1,184e3,22920,0,187245.17,20389.05,0,1,22920,14232.02,10419.81,9402.2,-0.422397137
95,1,184e3,29880,0,189958.06,20389.05,0,1,29880,15900.9,12647.96,10446.2,-0.4207246593
95,1,184e3,36840,0,192059.27,21000.72,0,1,36840,17569.79,14876.12,11490.2,-0.4190649549
95,1,184e3,43800,0,194772.16,21000.72,0,1,43800,19238.68,17104.27,12534.2,-0.4174160497
95,1,218666.67,2e3,0,207186.69,21000.72,0,1,2e3,7720.74,339.85,1800,-0.4100348347
95,1,218666.67,3750,0,208993.87,21000.72,0,1,3750,7970.32,673.06,3357.6,-0.408982308
95,1,218666.67,5500,0,209643.6,21000.72,0,1,5500,8060.05,792.86,3917.6,-0.4086052303
95,1,218666.67,7250,0,210293.33,21000.72,0,1,7250,8149.78,912.66,4477.6,-0.4082288554
95,1,218666.67,9e3,0,210997.14,21000.72,0,1,9e3,8293.59,1104.67,5037.6,-0.4078219433
95,1,218666.67,15960,0,216154.61,21630.74,0,1,15960,11853.88,5858.06,7264.8,-0.4045027632
95,1,218666.67,22920,0,221708.76,21630.74,0,1,22920,15270.63,10419.81,9402.2,-0.4013665156
95,1,218666.67,29880,0,224421.64,21630.74,0,1,29880,16939.52,12647.96,10446.2,-0.399852442
95,1,218666.67,36840,0,227134.53,21630.74,0,1,36840,18608.4,14876.12,11490.2,-0.3983498769
95,1,218666.67,43800,0,229847.42,21630.74,0,1,43800,20277.29,17104.27,12534.2,-0.3968586904
95,1,253333.33,2e3,0,241613.03,22279.66,0,1,2e3,8759.35,339.85,1800,-0.3901688343
95,1,253333.33,3750,0,243420.2,22279.66,0,1,3750,9008.93,673.06,3357.6,-0.389213345
95,1,253333.33,5500,0,244069.93,22279.66,0,1,5500,9098.66,792.86,3917.6,-0.3888709759
95,1,253333.33,7250,0,244719.66,22279.66,0,1,7250,9188.39,912.66,4477.6,-0.3885292153
95,1,253333.33,9e3,0,245423.47,22279.66,0,1,9e3,9332.2,1104.67,5037.6,-0.3881596928
95,1,253333.33,15960,0,251210.97,22279.66,0,1,15960,12892.5,5858.06,7264.8,-0.3851478247
95,1,253333.33,22920,0,256096.72,22948.05,0,1,22920,16309.24,10419.81,9402.2,-0.3823011204
95,1,253333.33,29880,0,258809.61,22948.05,0,1,29880,17978.13,12647.96,10446.2,-0.3809238015
95,1,253333.33,36840,0,261522.5,22948.05,0,1,36840,19647.02,14876.12,11490.2,-0.3795564789
95,1,253333.33,43800,0,264235.39,22948.05,0,1,43800,21315.91,17104.27,12534.2,-0.378199045
95,1,288e3,2e3,0,276649.92,22948.05,0,1,2e3,9797.97,339.85,1800,-0.3721104807
95,1,288e3,3750,0,278457.09,22948.05,0,1,3750,10047.55,673.06,3357.6,-0.3712406642
95,1,288e3,5500,0,278418.38,23636.49,0,1,5500,10137.28,792.86,3917.6,-0.3709288722
95,1,288e3,7250,0,279068.11,23636.49,0,1,7250,10227.01,912.66,4477.6,-0.3706171223
95,1,288e3,9e3,0,279771.92,23636.49,0,1,9e3,10370.82,1104.67,5037.6,-0.3702800208
95,1,288e3,15960,0,285559.42,23636.49,0,1,15960,13931.11,5858.06,7264.8,-0.3675313398
95,1,288e3,22920,0,291113.56,23636.49,0,1,22920,17347.86,10419.81,9402.2,-0.3649320048
95,1,288e3,29880,0,293826.45,23636.49,0,1,29880,19016.74,12647.96,10446.2,-0.363675844
95,1,288e3,36840,0,296539.34,23636.49,0,1,36840,20685.63,14876.12,11490.2,-0.3624283995
95,1,288e3,43800,0,299078.76,23636.49,0,1,43800,22181.05,17104.27,12534.2,-0.3612685383
95,1,322666.67,2e3,0,310957.66,24345.59,0,1,2e3,10836.58,339.85,1800,-0.3556207811
95,1,322666.67,3750,0,312764.84,24345.59,0,1,3750,11086.16,673.06,3357.6,-0.3548242142
95,1,322666.67,5500,0,313414.57,24345.59,0,1,5500,11175.89,792.86,3917.6,-0.3545387078
95,1,322666.67,7250,0,314064.3,24345.59,0,1,7250,11265.62,912.66,4477.6,-0.3542536656
95,1,322666.67,9e3,0,314768.11,24345.59,0,1,9e3,11409.43,1104.67,5037.6,-0.3539454202
95,1,322666.67,15960,0,320555.6,24345.59,0,1,15960,14969.72,5858.06,7264.8,-0.3514311182
95,1,322666.67,22920,0,326109.75,24345.59,0,1,22920,18386.47,10419.81,9402.2,-0.349051935
95,1,322666.67,29880,0,328092.27,25075.96,0,1,29880,20055.36,12647.96,10446.2,-0.3478998451
95,1,322666.67,36840,0,330755.3,25075.96,0,1,36840,21674.39,14876.12,11490.2,-0.3467761171
95,1,322666.67,43800,0,333140.87,25075.96,0,1,43800,23015.96,17104.27,12534.2,-0.3457756841
95,1,357333.33,2e3,0,345932.57,25075.96,0,1,2e3,11875.19,339.85,1800,-0.3405092803
95,1,357333.33,3750,0,347739.75,25075.96,0,1,3750,12124.77,673.06,3357.6,-0.3397783078
95,1,357333.33,5500,0,348389.48,25075.96,0,1,5500,12214.5,792.86,3917.6,-0.3395162784
95,1,357333.33,7250,0,349039.21,25075.96,0,1,7250,12304.23,912.66,4477.6,-0.3392546576
95,1,357333.33,9e3,0,349743.02,25075.96,0,1,9e3,12448.04,1104.67,5037.6,-0.3389717204
95,1,357333.33,15960,0,354778.24,25828.23,0,1,15960,16008.34,5858.06,7264.8,-0.3366600266
95,1,357333.33,22920,0,360332.38,25828.23,0,1,22920,19425.08,10419.81,9402.2,-0.3344702919
95,1,357333.33,29880,0,363045.27,25828.23,0,1,29880,21093.97,12647.96,10446.2,-0.3334111656
95,1,357333.33,36840,0,365504.6,25828.23,0,1,36840,22509.3,14876.12,11490.2,-0.3324568738
95,1,357333.33,43800,0,367890.17,25828.23,0,1,43800,23850.87,17104.27,12534.2,-0.3315364669
95,1,392e3,2e3,0,380110.73,26603.08,0,1,2e3,12913.81,339.85,1800,-0.3266089609
95,1,392e3,3750,0,381917.9,26603.08,0,1,3750,13163.39,673.06,3357.6,-0.3259346032
95,1,392e3,5500,0,382567.63,26603.08,0,1,5500,13253.12,792.86,3917.6,-0.3256928407
95,1,392e3,7250,0,383217.36,26603.08,0,1,7250,13342.85,912.66,4477.6,-0.3254514405
95,1,392e3,9e3,0,383921.17,26603.08,0,1,9e3,13486.66,1104.67,5037.6,-0.3251903551
