C, utils, Evtpo, value
   2045.8546368209,               NaN,     -1.5805530131,               NaN
   2057.1521762508,               NaN,     -1.5806873792,******************
   2068.4497156808,               NaN,     -1.5808217453,               NaN
   2079.7472551107,               NaN,     -1.5809561114,******************
   2091.0447945407,               NaN,     -1.5810904775,               NaN
   2102.3423339706,               NaN,     -1.5812248437,******************
   2113.6398734006,               NaN,     -1.5813592099,               NaN
   2124.9374128305,               NaN,     -1.5814935761,******************
   2136.2349522605,               NaN,     -1.5816279423,               NaN
   2147.5324916904,               NaN,     -1.5817623085,******************
   2158.8300311204,               NaN,     -1.5818966747,               NaN
   2170.1275705503,               NaN,     -1.5820310410,******************
   2181.4251099803,               NaN,     -1.5821654073,               NaN
   2192.7226494102,               NaN,     -1.5822997736,******************
   2204.0201888402,               NaN,     -1.5824341399,               NaN
   2215.3177282701,               NaN,     -1.5825685063,******************
   2226.6152677001,               NaN,     -1.5827028726,               NaN
   2237.9128071300,               NaN,     -1.5828372390,******************
   2249.2103465600,               NaN,     -1.5829716054,               NaN
   2260.5078859899,               NaN,     -1.5831059718,******************
   2271.8054254199,               NaN,     -1.5832403382,               NaN
   2283.1029648498,               NaN,     -1.5833747047,******************
   2294.4005042798,               NaN,     -1.5835090711,               NaN
   2305.6980437097,               NaN,     -1.5836434376,******************
   2316.9955831397,               NaN,     -1.5837778041,               NaN
   2328.2931225696,               NaN,     -1.5839121707,******************
   2339.5906619996,               NaN,     -1.5840465372,               NaN
   2350.8882014295,               NaN,     -1.5841809038,******************
   2362.1857408595,               NaN,     -1.5843152703,               NaN
   2373.4832802894,               NaN,     -1.5844496369,******************
   2384.7808197194,               NaN,     -1.5845840036,               NaN
   2396.0783591493,               NaN,     -1.5847183702,******************
   2407.3758985793,               NaN,     -1.5848527368,               NaN
   2418.6734380092,               NaN,     -1.5849871035,******************
   2429.9709774392,               NaN,     -1.5851214702,               NaN
   2441.2685168691,               NaN,     -1.5852558369,******************
   2452.5660562991,               NaN,     -1.5853902037,               NaN
   2463.8635957290,               NaN,     -1.5855245704,******************
   2475.1611351590,               NaN,     -1.5856589372,               NaN
   2486.4586745889,               NaN,     -1.5857933039,******************
   2497.7562140189,               NaN,     -1.5859276707,               NaN
   2509.0537534488,               NaN,     -1.5860620376,******************
   2520.3512928788,               NaN,     -1.5861964044,               NaN
   2531.6488323087,               NaN,     -1.5863307713,******************
   2542.9463717387,               NaN,     -1.5864651381,               NaN
   2554.2439111686,               NaN,     -1.5865995050,******************
   2565.5414505986,               NaN,     -1.5867338719,               NaN
   2576.8389900285,               NaN,     -1.5868682389,******************
   2588.1365294585,               NaN,     -1.5870026058,               NaN
   2599.4340688884,               NaN,     -1.5871369728,******************
   2610.7316083184,               NaN,     -1.5872713398,               NaN
   2622.0291477483,               NaN,     -1.5874057068,******************
   2633.3266871783,               NaN,     -1.5875400738,               NaN
   2644.6242266082,               NaN,     -1.5876744409,******************
   2655.9217660382,               NaN,     -1.5878088079,               NaN
   2667.2193054681,               NaN,     -1.5879431750,******************
   2678.5168448980,               NaN,     -1.5880775421,               NaN
   2689.8143843280,               NaN,     -1.5882119092,******************
   2701.1119237579,               NaN,     -1.5883462764,               NaN
   2712.4094631879,               NaN,     -1.5884806435,******************
   2723.7070026178,               NaN,     -1.5886150107,               NaN
   2735.0045420478,               NaN,     -1.5887493779,******************
   2746.3020814777,               NaN,     -1.5888837451,               NaN
   2757.5996209077,               NaN,     -1.5890181123,******************
   2768.8971603376,               NaN,     -1.5891524796,               NaN
   2780.1946997676,               NaN,     -1.5892868468,******************
   2791.4922391975,               NaN,     -1.5894212141,               NaN
   2802.7897786275,               NaN,     -1.5895555814,******************
   2814.0873180574,               NaN,     -1.5896899487,               NaN
   2825.3848574874,               NaN,     -1.5898243161,******************
